Source,Episode,Vocabulary,Type,Description,Example
,,chilling,adjective,"frightening, usually because it is connected with something violent or cruel",a chilling story
,,altercation,noun,a noisy argument or disagreement,A youth became involved in an altercation with a police officer over a parking ticket.
,,desecration,noun,the act of damaging a holy thing or place or treating it without respect,the desecration of a cemetery
,,nicotine,noun,"a poisonous substance in tobacco that people become addicted to, so that it is difficult to stop smoking",The nicotine stains on his fingers told me he was under stress.
,,pouch,noun,"a small bag, usually made of leather, and often carried in a pocket or attached to a belt",She kept her money in a pouch around her neck.
,,loophole,noun,"a mistake in the way a law, contract, etc. has been written that enables people to legally avoid doing something that the law, contract, etc. had intended them to do",a legal/tax loophole
,,Wild West,noun,the westen U.S. in its frontier period characterized by roughness and lawlessness.,They say the lack of rules is a Wild West.
,,vaping,noun,"the activity of using electronic cigarettes or similar devices to breathe in vapour, usually containing nicotine",Vaping has been banned on public transport.
,,appetite,noun,physical desire for food,loss of appetite
,,make ends meet,phrase,earn just enough money to live on.,Just trying to make ends meet.
,,substantial,adjective,"large in amount, value or importance",substantial sums of money
,,arena,noun,a place with a flat open area in the middle and seats around it where people can watch sports and entertainment,a hockey/basketball arena
,,tourniquet,noun,"a piece of cloth, etc. that is tied tightly around an arm or a leg to stop the loss of blood from a wound",Apply a tight tourniquet above the wound.
,,foyer,noun,a large open space inside the entrance of a theatre or hotel where people can meet or wait,I???ll meet you in the foyer at 7 o???clock.
,,makeshift,adjective,used temporarily for a particular purpose because the real thing is not available,A few cushions formed a makeshift bed.
,,stretcher,noun,"a long piece of strong cloth with a pole on each side, used for carrying somebody who is sick or injured and who cannot walk",He was carried off on a stretcher.
,,casualty,noun,the part of a hospital where people who need immediate treatment are taken,heavy casualties
,,scapegoat,verb,to blame somebody/something for a failure or for something bad that another person has done,The community chose to ignore its own failings and to scapegoat her instead.
,,smuggle,verb,move (goods) illegally into or out of a country.,He's been sumggling cigarettes from Gibraltar into Spain.
,,undercover,adjective,"working or done secretly in order to find out information for the police, a government, etc.",undercover agent
,,wield,verb,"to have and use power, authority, etc.",She wields enormous power within the party.
,,accustomed,adjective,familiar with something and accepting it as normal or usual,become/get accustomed
,,knock on,adjective,causing other events to happen one after another in a series,a knock-on effect
,,spiral,noun,"a shape or design, consisting of a continuous curved line that winds around a central point, with each curve further away from the centre",upward/downward spiral
,,redundant,adjective,not or no longer needed or useful.,made redundant
,,gantry,noun,"a tall metal frame that is used to support a crane, road signs, a spacecraft while it is still on the ground, etc.",none
,,blustery,adjective,with strong winds,blustery winds/conditions
,,thrifty,adjective,careful about spending money and not wasting things,He was brought up to be thrifty and never to get into debt.
,,heir,noun,"a person who has the legal right to receive somebody???s property, money or title when that person dies",to be heir to a large fortune
,,pope,noun,"the leader of the Roman Catholic Church, who is also the Bishop of Rome",the election of a new pope
,,reign,noun,"the period during which a king, queen, emperor, etc. rules","By the end of his reign, the vast empire was in decline."
,,devout,adjective,believing strongly in a particular religion and obeying its laws and practices,a devout Christian/Muslim
,,persecute,verb,"to treat someone unfairly or cruelly over a long period of time because of their race, religion, or political beliefs, or to annoy someone by refusing to leave them alone.",Religious minorities were persecuted and massacred during the ten-year regime.
,,massacre,noun,the killing of a large number of people especially in a cruel way,the bloody massacre of innocent civilians
,,expletive,noun,"a word, especially a rude word, that you use when you are angry, or in pain",He dropped the book on his foot and muttered several expletives under his breath.
,,mutter,verb,"to speak or say something in a quiet voice that is difficult to hear, especially because you are annoyed about something","???How dare she,??he muttered under his breath."
,,laden,adjective,heavily loaded with something,The trees were laden with apples.
,,rig,verb,to arrange or influence something in a dishonest way in order to get the result that you want,election had been rigged
,,slit,noun,"a long, narrow cut or opening",a long skirt with a slit up the side
,,intimidate,verb,to frighten or threaten somebody so that they will do what you want,They were accused of intimidating people into voting for them.
,,flea,noun,"a very small jumping insect without wings, that bites animals and humans and drinks their blood",The dog has fleas.
,,deteriorate,verb,to become worse,"Her health deteriorated rapidly, and she died shortly afterwards."
,,abolish,verb,"to officially end a law, a system or an institution",This tax should be abolished.
,,flee,verb,"to leave a person or place very quickly, especially because you are afraid of possible danger",She burst into tears and fled.
,,throne,noun,a special chair used by a king or queen to sit on at ceremonies,came/succeeded to the throne
,,deployment,noun,the act of moving soldiers or weapons into a position where they are ready for military action,the deployment of peacekeeping forces
,,renounce,verb,"to state officially that you are no longer going to keep a title, position, etc.",The Prince has refused to renounce his right to the throne.
,,condemn,verb,"to say very strongly that you think something is bad, usually for moral reasons",The government issued a statement condemning the killings.
,,woo,verb,to try to get the support of somebody,Selected items are being sold at half price to woo customers into the store.
,,delegate,noun,a person who is chosen or elected to represent the views of a group of people and vote and make decisions for them,Congress delegates rejected the proposals.
,,controversial,adjective,causing a lot of angry public discussion and disagreement,highly controversial
,,subsidy,noun,money that is paid by a government or an organization to reduce the costs of services or of producing goods so that their prices can be kept low,agricultural subsidies
,,stint,noun,a period of time that you spend working somewhere or doing a particular activity,did a stint
,,margarine,noun,"a yellow substance like butter made from animal or vegetable fats, used in cooking or spread on bread, etc.",Cream the margarine and sugar together.
,,in a bid to,phrase,an attempt to obtain it or do it,The Bank of England increased interest rates to 3% in a bid to cool rising prices.
,,marquis,noun,(in some European countries but not the UK) a nobleman of high rank between a count and a duke,none
,,grouse,noun,"a bird with a fat body and feathers on its legs, which people shoot for sport and food; the meat of this bird",grouse shooting
,,moor,noun,"a high open area of land that is not used for farming, especially an area covered with rough grass and heather",the North York moors
,,antiseptic,noun,a substance that helps to prevent infection in wounds by killing bacteria,mild/strong/powerful antiseptic
,,stag,noun,a male deer,none
,,stag night,noun,"a celebration held for a man shortly before his wedding, attended by his male friends only.",none
,,ought,very,"used to indicate duty or correctness, typically when criticizing someone's actions.",they ought to respect the law.
,,sake,noun,used to emphasize that it is important to do something or when you are annoyed about something,for the sake of argument
,,chin,noun,"the protruding part of the face below the mouth, formed by the apex of the lower jaw.",A strap fastens under the chin to keep the helmet in place.
,,dally,verb,to do something too slowly; to take too much time making a decision,she'd dallied upstairs long enough to put on a little make-up
,,gingiva,noun,The tissue of the upper and lower jaws that surrounds the base of the teeth. Also called gums.,Brushing should foucs on the junction between the gingiva and teeth.
,,jargon,noun,"words or expressions that are used by a particular profession or group of people, and are difficult for others to understand","medical/legal/computer, etc. jargon"
,,saliva,noun,the liquid that is produced in your mouth that helps you to swallow food,The smell of food causes the saliva to flow.
,,plaque,noun,a soft substance that forms on teeth and encourages the growth of harmful bacteria,Remove plaque by brushing your teeth regularly.
,,anesthesia,noun,"the condition of not feeling pain, esp. by use of special drugs",The vet anesthetized my dog to take x-rays.
,,constrain,verb,to force somebody to do something or behave in a particular way,The evidence was so compelling that he felt constrained to accept it.
,,manifesto,noun,"a written statement in which a group of people explain their beliefs and aims, especially one published by a political party to say what they will do if they win an election",an election manifesto
,,tacit,adjective,"that is suggested indirectly or understood, rather than said in words",tacit approval/support/knowledge
,,cure,verb,to make someone with an illness healthy again,The president and his advisors meet this week to discuss how to cure inflation.
,,beget,verb,to cause,"Poverty begets hunger, and hunger begets crime."
,,think tank,noun,"a group of experts who provide advice and ideas on political, social or economic issues",a study published by a leading economic think tank
,,non-dom,noun,"a person who lives in a country but says officially that they do not intend to live there permanently, which sometimes means that they pay less tax in that country",He admits that he???s a non-dom for tax purposes.
,,domicile,noun,"the country that a person treats as their permanent home, or lives in and has a strong connection with",The place of domicile must be listed on the travel expense report.
,,grim,adjective,ill; of very low quality,We face the grim prospect of still higher unemployment.
,,steward,noun,"a person whose job it is to organize a particular event, or to provide services to particular people, or to take care of a particular place",Farmers pride themselves on being stewards of the countryside.
,,err,verb,to make a mistake,He erred in agreeing to her appointment to the position.
,,hem in,phrasal verb,to surround somebody/something so that they cannot move or grow easily,The village is hemmed in on all sides by mountains.
,,tenable,adjective,that can be held for a particular period of time,The old idea that this work was not suitable for women was no longer tenable.
,,curtail,verb,to limit something or make it last for a shorter time,Spending on books has been severely curtailed.
,,prescription,noun,medicine that your doctor has ordered for you,The doctor gave me a prescription for antibiotics.
,,abhorrent,adjective,"causing a strong feeling of hate, especially for moral reasons",Racism is abhorrent to a civilized society.
,,spoof,noun,"a humorous copy of a film, TV programme, etc. that exaggerates its main features",It's a spoof on horror movies.
,,devastate,verb,to completely destroy a place or an area,The bomb devastated much of the old part of the city.
,,misogynistic,adjective,typical of the behaviour and beliefs of a person who hates or dislikes women or believes they are not as good as men,misogynistic attitudes
,,adhere,verb,to stick to something,"Once in the bloodstream, the bacteria adhere to the surface of the red cells."
,,clamp,verb,a device made of wood or metal that is used to hold two things together tightly,Clamp one end of the plank to the edge of the table.
,,momentous,adjective,"very important or serious, especially because there may be important results",momentous decision/event/occasion
,,herald,verb,to be a sign that something is going to happen; to say in public that somebody/something is good or important,These talks could herald a new era of peace.
,,encounter,verb,"to experience something, especially something unpleasant or difficult, while you are trying to do something else",We encountered a number of difficulties in the first week.
,,confidant,noun,a person that you trust and who you talk to about private or secret things,There were times when a semi-stranger was a better confidante than a close friend.
,,interrogation,noun,"the act of asking somebody a lot of questions over a long period of time, especially in an aggressive way",He confessed after four days under interrogation.
,,cork   ( noun ),,"the light, soft bark (= outer covering) of a Mediterranean tree",
,,hospice   ( noun ),,"a hospital for people who are dying, especially from cancer",
,,forgo   ( verb ),,to not have or do something enjoyable:,I shall have to forgo the pleasure of seeing you this week.
,,glamorous   ( adjective ),,attractive in an exciting and special way:,a glamorous woman/outfit
,,git   ( noun ),,"a person, especially a man, who is stupid or unpleasant:",You stupid/lying git!
,,dell   ( noun ),,"a small valley, usually with trees",
,,nosh   ( noun ),,food or a meal:,They serve good nosh in the cafeteria.
,,sod   ( noun ),,something or someone considered unpleasant or difficult:,"What did you do that for, you stupid sod?"
,,concierge   ( noun ),,"a person who is employed to take care of an apartment building, especially in France:",The concierge knocked on the door of their apartment following complaints about noise.
,,acid reflux   ( noun ),,"a condition in which stomach acid comes up from the stomach to the oesophagus (= the tube in the body that takes food from the mouth to the stomach), which can cause damage inside the body:","If you frequently feel the need to clear your throat, you may have acid reflux."
,,colonoscopy   ( noun ),,a medical examination of the colon (= the lower part of the tube that takes solid waste out of your body),
,,boil something down   ( phrasal verb ),,"to reduce information, usually so that it contains only its most important parts:",He had boiled down a lengthy report to just a few paragraphs.
,,bagsy   ( verb ),,to claim the right to have or do something because you said you wanted it first:,I bagsied the best seat before anyone else arrived.
,,head off   ( phrasal verb ),,to start a journey or leave a place:,What time are you heading off?
,,tug of war   ( noun ),,"a type of sport in which two teams show their strength by pulling against each other at the opposite ends of a rope, and each team tries to pull the other over a line on the ground",
,,cystitis   ( noun ),,"a disease, especially of women, in which the bladder becomes infected and there is pain when urinating",
,,crop   ( verb ),,"to make something shorter or smaller, especially by cutting:",He had his hair cropped when he went into the army.
,,foosball   ( noun ),,"a game played on a table using a small ball and model players attached to poles, based on football",
,,loosen (something) up   ( phrasal verb ),,to prepare your muscles for a physical activity by stretching and doing simple exercises:,I do a few stretches to loosen up before I run.
,,leftover   ( adjective ),,A leftover part of something is the part that has not been used or eaten when the other parts have been:,some leftover chicken from last night's meal
,,search party   ( noun ),,a group of people who look for someone who is lost:,A search party was sent out to look for the missing climbers.
,,droll   ( adjective ),,"humorous, especially in an unusual way:",a droll remark/expression/person
,,brew   ( verb ),,to make beer,
,,swab   ( noun ),,"a small piece of soft material used for cleaning a cut or for taking a small amount of substance from a body, or the substance itself that can then be tested:",The nurse cleaned the cut on my leg with a swab.
,,muck   ( noun ),,"mud, dirt, or a sticky natural substance such as animal waste:",There was green muck at the bottom of the boat.
,,snowflake   ( noun ),,"a small piece of snow that falls from the sky. Snowflakes are sometimes represented as six-sided crystals on Christmas cards, decorations, etc. (Easily Broken Heart)",
,,chuffed   ( adjective ),,pleased or happy:,He was really chuffed with his present.
,,dangle   ( verb ),,"to hang loosely, or to hold something so that it hangs loosely:",Loose electric wires were dangling from the wall.
,,lad   ( noun ),,a boy or young man:,A group of young lads were standing outside the shop.
,,arancini   ( noun ),,"an Italian dish consisting of balls of rice mixed with other food, that are covered in breadcrumbs and fried:",I recommend the arancini.
,,acquaintance   ( noun ),,a person that you have met but do not know well:,a business acquaintance
,,roll (something) out   ( phrasal verb ),,"to make a new product, service, or system available for the first time:",The government plans to roll out a series of tax cuts over the next few years.
,,unleash   ( verb ),,to suddenly release a violent force that cannot be controlled:,"At worst, nuclear war could be unleashed."
,,louse   ( noun ),,a very small insect that lives on the bodies or in the hair of people and animals,even when the kids haven't got lice.
,,dickhead   ( noun ),,an unpleasant or stupid person:,You dickhead - you dented the back of my car!
,,scent   ( noun ),,a pleasant natural smell:,the scent of roses
,,turmeric   ( noun ),,"a yellow powder, used as a spice to flavour particular foods, especially curry, and give them a yellow colour. It is made from the root of an Asian plant.",
,,chinchilla   ( noun ),,"a small South American animal that can be kept as a pet and has very soft, pale grey fur",
,,man cave   ( noun ),,"a part of a house, or a small building near a house, where a man can go to get away from the other people in the house and do the things he wants to do:",His man cave contained a pool table and a karaoke machine.
,,eff   ( verb ),,"to swear, using words that are considered offensive:",She was effing and blinding and saying it was all my fault.
,,slum   ( verb ),,to spend time in conditions that are much less good than the standard that you are used to:,We ran out of money on holiday and had to slum it in cheap hostels.
,,willy-nilly   ( adverb ),,"If something happens willy-nilly, it happens even if the people who are involved do not want it to happen:","Both sides were drawn, willy-nilly, into the conflict."
,,the full monty   ( noun ),,"the most or best that you can have, do, get, or achieve, or all that you want or need:","When we bought the television, we decided to go for the full monty."
,,mull something over   ( phrasal verb ),,to think carefully about something for a long time:,I need a few days to mull things over before I decide if I'm taking the job.
,,hasty   ( adjective ),,"Hasty actions are done in a hurry, sometimes without the necessary care or thought:",He warned against making hasty decisions.
,,sluice   ( noun ),,"an artificial channel for carrying water, with an opening at one end to control the flow of the water",
,,vibe   ( noun ),,"the mood of a place, situation, person, etc. and the way that they make you feel:",I loved the overall vibe of the place but the food wasn't that great.
,,matey   ( adjective ),,friendly:,They've been very matey since they started working together.
,,galling   ( adjective ),,annoying:,It was very galling to have a younger brother who did everything better than me.
,,geriatric   ( adjective ),,for or relating to old people:,a geriatric hospital/ward/nurse
,,blast   ( verb ),,"to explode or destroy something or someone with explosives, or to break through or hit something with a similar, very strong force:",An explosion blasted through the wall.
,,decree nisi   ( noun ),,the first stage of a divorce (= a legal agreement to end a marriage),
,,testis   ( noun ),,"a 
testicle",
,,catchment area   ( noun ),,"the area of land from which water flows into a river, lake, or reservoir:",There has been a lot of recent rainfall in the catchment area of the river.
,,overtly   ( adverb ),,in a way that is done or shown publicly or in an obvious way and not secret:,It was an overtly sexual advertising campaign.
,,condescending   ( adjective ),,treating someone as if you are more important or more intelligent than them:,I hate the way he's so condescending to his staff!
,,budge up   ( phrasal verb ),,said to someone in order to ask them to move so that there is room for you,
,,spaghetti bolognese   ( noun ),,a dish consisting of spaghetti with a tomato and meat sauce,
,,plait   ( verb ),,to join three or more pieces of hair or string-like material by putting them over each other in a special pattern:,She plaited the horse's tail.
,,herbal   ( adjective ),,relating to or made from herbs:,herbal tea
,,fennel   ( noun ),,"a plant with a large, rounded base that is eaten as a vegetable and seeds that are used to give a special taste to food",
,,jasmine   ( noun ),,a climbing plant. One type has white sweet-smelling flowers in summer and another type has yellow flowers in winter.,
,,punchy   ( adjective ),,"expressing something effectively and with power, often using only a few words or short words:",a short punchy presentation/speech
,,lunatic   ( noun ),,someone who behaves in a silly or dangerous way:,He drives like a lunatic.
,,hassle   ( noun ),,(a situation causing) difficulty or trouble:,I can't face the hassle of moving again.
,,carve out something   ( phrasal verb ),,to create or obtain something that helps you by skillful activities:,She carved out a reputation for herself as a high-powered lawyer.
,,drop-in   ( adjective ),,"used to describe a place where people can go, usually to get help or advice, at any time without making an appointment (= an agreed date and time):",a drop-in centre for the homeless
,,picky   ( adjective ),,Someone who is picky is very careful about choosing only what they like:,The children are such picky eaters.
,,walnut   ( noun ),,"a nut with a slightly bitter taste, a series of folds in it, and a hard shell:",Sprinkle with chopped walnuts to serve.
,,poke   ( verb ),,to push a finger or other pointed object quickly into someone or something:,You'll poke someone in the eye with that umbrella if you're not careful!
,,arse   ( noun ),,a rude word for the part of your body that you sit on,
,,banquet   ( noun ),,"a large formal meal for many people, often followed by speeches in honour of someone:",Medieval banquets are held in the castle once a month.
,,RSVP   (  ),,"abbreviation for XXXX  French for """"please reply""""; used at the end of a written invitation to mean that you should tell the people who invited you whether or not you are coming:""","We request the pleasure of your company at a party in celebration of our daughter's 18th birthday, to be held at 3 o'clock on the afternoon of Saturday 20th August. RSVP."
,,firm something up   ( phrasal verb ),,to make something more certain or less likely to change:,Could we have a meeting so we can firm up the details of our agreement?
,,trunks   ( plural noun ),,"very short pants, esp. worn by men for swimming:",He spent the summer in swim trunks and Hawaiian shirts.
,,spotless   ( adjective ),,extremely clean:,Her home is spotless.
,,elderflower   ( noun ),,the white flower of the elderberry tree:,Jams and cordials can be scented with elderflower.
,,quid pro quo   ( noun ),,something that is given to a person in return for something they have done:,The government has promised food aid as a quid pro quo for the stopping of violence.
,,finale   ( noun ),,"the last part of especially a musical or theatre performance, especially when this is very exciting or emotional:",All the dancers come on stage during the grand finale.
,,dilute   ( verb ),,to make a liquid weaker by mixing in something else:,Dilute the juice (with water) before you drink it.
,,ash   ( noun ),,"the soft grey or black powder that is left after a substance, especially tobacco, coal, or wood, has burned:",cigarette ash
,,hideous   ( adjective ),,extremely ugly or bad:,They've just built some hideous new apartment blocks on the seafront.
,,priest   ( noun ),,"a person, usually a man, who has been trained to perform religious duties in the Christian Church, especially the Roman Catholic Church, or a person with particular duties in some other religions:",Father O'Dooley was ordained a priest in 1949.
,,quiche   ( noun ),,"an open pastry case, filled with a mixture of eggs, cream, and other savoury (= not sweet) foods, that is baked and eaten hot or cold:",asparagus/broccoli quiche
,,tzatziki   ( noun ),,"a dish, originally from Greece, consisting of yogurt with cucumber and garlic added to it:","Serve the falafel on pitta with tzatziki, lettuce and tomato."
,,baton   ( noun ),,a stick used by a conductor (= person who controls the performance of a group of musicians) to show the speed of the music,
,,turn up (somewhere)   ( phrasal verb ),,"to arrive or appear somewhere, usually unexpectedly or in a way that was not planned:",Do you think many people will turn up?
,,tub   ( noun ),,"a large, round container with a flat base and an open top:",Outside was a stone patio with tubs of flowering plants.
,,cottage   ( noun ),,"a small house, usually in the countryside:",We rented a little beach cottage on the North Caroline coast.
,,mackerel   ( noun ),,"a sea fish with a strong taste, often used as food:",smoked mackerel
,,contempt   ( noun ),,a strong feeling of disliking and having no respect for someone or something:,At school she had complete contempt for all her teachers.
,,piss off   ( phrasal verb ),,to leave or go away; used especially as a rude way of telling someone to go away:,Everyone just pissed off and left me to clean up.
,,choke   ( verb ),,"If you choke, or if something chokes you, you stop breathing because something is blocking your throat:",She choked to death on a fish bone.
,,pull something off   ( phrasal verb ),,to succeed in doing something difficult or unexpected:,The central bank has pulled off one of the biggest financial rescues of recent years.
,,icing   ( noun ),,"a sweet food used to cover or fill cakes, made from sugar and water or sugar and butter:",chocolate butter icing
,,be caught short,,"idiom UK informal.  to suddenly and unexpectedly need to go to the toilet, especially when it is not convenient for you to do so.","I always use the toilet before a long drive, to avoid being caught short."
,,warden   ( noun ),,a person whose job is to make certain that members of the public obey particular rules:,a traffic warden
,,linger   ( verb ),,to take a long time to leave or disappear:,"After the play had finished, we lingered for a while in the bar hoping to catch sight of the actors."
,,roulette   ( noun ),,a game of chance in which a small ball is dropped onto a wheel that is spinning and the players guess in which hole it will finally stop,
,,bugger   ( noun ),,a silly or annoying person:,"Well you shouldn't have drunk so much, should you, you daft bugger!"
,,lick   ( verb ),,to move the tongue across the surface of something:,He licked the chocolate off his fingers.
,,cranberry   ( noun ),,"a small, round, red fruit with a sour taste",
,,bleach   ( noun ),,a strong chemical used for cleaning things or removing colour from things,
,,loo   ( noun ),,informal for toilet:,I'll just go to the loo.
,,flute   ( noun ),,a tube-shaped musical instrument with a hole that you blow across at one end while holding the tube out horizontally to one side,
,,peep   ( verb ),,"to secretly look at something for a short time, usually through a hole:",I saw her peeping through the curtains/into the room.
,,tag team   ( noun ),,"two wrestlers (= people who fight each other and try to throw each other to the ground ) who fight as a team against other teams. Only one member of each team fights at a time, and the second member cannot start fighting until the first member has touched him or her:",The wrestler works well as a single as well as in a tag team.
,,mop   ( noun ),,"a stick with soft material attached to one end, especially used for washing floors:",a floor mop
,,chrome   ( noun ),,"a hard, shiny metal that is an alloy of chromium and other metals:",office furnishings in glass and chrome
,,vac   ( verb ),,to clean something with a vacuum cleaner:,"I've nearly finished the cleaning, I just need to vac."
,,crate   ( noun ),,"a box made of wood, plastic, or metal, especially one divided into parts to hold bottles:",a milk crate
,,Siamese   ( noun ),,"a cat that has short hair and pale fur, but darker ears, tail, and feet, and blue eyes",
,,swerve   ( verb ),,"to change direction, especially suddenly:",The bus driver swerved to avoid hitting a cyclist.
,,spatula   ( noun ),,"a cooking utensil with a wide, flat blade that is not sharp, used especially for lifting food out of pans",
,,peeler   ( noun ),,a kitchen tool for removing the skin of fruit and vegetables:,a vegetable/potato peeler
,,tongs   ( noun ),,"a device used for picking up objects, consisting of two long pieces joined at one end and pressed together at the other end in order to hold an object between them:",coal tongs
,,whisk   ( verb ),,to take something or someone somewhere else suddenly and quickly:,Our coffees were whisked away before we'd even finished them.
,,napkin   ( noun ),,"a small square piece of cloth or paper, used while you are eating to protect your clothes or to clean your mouth or fingers",
,,ladle   ( noun ),,"a very big spoon with a long handle and a deep cup-shaped part, used especially for serving soup:",a soup ladle
,,pick up on something   ( phrasal verb ),,to notice something that other people have not noticed:,Only one newspaper picked up on the contradictions in the statement.
,,put up with something/someone   ( phrasal verb ),,"to accept or continue to accept an unpleasant situation or experience, or someone who behaves unpleasantly:","I can put up with the house being messy, but I hate it if it's not clean."
,,babysit   ( verb ),,"to take care of someone's baby or child while that person is out, usually by going to the person's home:",I babysit for Jane on Tuesday evenings while she goes to her yoga class.
,,the lowdown   ( noun ),,the most important facts and information about something:,Our fashion editor gives you the lowdown on winter coats for this season.
,,sneak peek   ( noun ),,an opportunity to see something before it is officially available:,The company is offering a sneak peek at the new software.
,,sneak   ( verb ),,"to go somewhere secretly, or to take someone or something somewhere secretly:",I managed to sneak in through the back door while she wasn't looking.
,,peek   ( verb ),,"to look, especially for a short time or while trying to avoid being seen:",Close your eyes. Don't peek. I've got a surprise for you.
,,racket   ( noun ),,"an object used for hitting the ball in various sports, consisting of a net fixed tightly to a round frame with a long handle: 
an unpleasant loud continuous noise:",a tennis/squash/badminton racket
,,cloakroom   ( noun ),,"a room in a public building such as a restaurant, theatre, etc. where coats, bags, and other personal things can be left while their owners are in the building",
,,schlep   ( verb ),,to move yourself or an object with effort and difficulty:,Do I really have to schlep all that junk down to the cellar?
,,deodorant   ( noun ),,a substance that you put on your body to prevent or hide unpleasant smells,
,,nasty   ( adjective ),,bad or very unpleasant:,a nasty shock/surprise
,,paddling pool   ( noun ),,a pool that is not deep that small children can play in,
,,haptic   ( adjective ),,"A haptic device creates a physical feeling such as a push or vibration so that you know, for example, when you have pressed or touched something on a screen:",The haptic touchscreens buzz gently when a key has been touched.
,,hostage   ( noun ),,someone who is taken as a prisoner by an enemy in order to force the other people involved to do what the enemy wants:,She was taken/held hostage by the gunmen.
,,abyss   ( noun ),,a very deep hole that seems to have no bottom,
,,onstage   ( adverb ),,onto or on a stage so the people watching can see:,The audience cheered as the band walked onstage for another encore.
,,verruca   ( noun ),,"a small, hard, infectious growth on the skin, usually on the bottom of the foot",
,,fumes   ( noun ),,"strong, unpleasant, and sometimes dangerous gas or smoke:",exhaust fumes
,,gusset   ( noun ),,"a second layer of cloth that is sewn into a piece of clothing to make it larger, stronger, or more comfortable:",silk panties with a cotton gusset
,,tampon   ( noun ),,a small cylinder of cotton or other material that a woman puts in her vagina to absorb blood during her period,
,,irritate   ( verb ),,to make someone angry or annoyed:,After a while her behaviour really began to irritate me.
,,bite your tongue,,to stop yourself from saying something that you would really like to say,"I wanted to tell him exactly what I thought of him, but I had to bite my tongue."
,,chin up,,something you say to someone in a difficult situation in order to encourage them to be brave and try not to be sad,Chin up! It'll soon be the weekend.
,,go the extra mile,,to make more effort than is expected of you,"He's a nice guy, always ready to go the extra mile for his friends."
,,get the hang of something,,"to learn how to do something, especially if it is not obvious or simple","I've never used this program before."" ""Don't worry - you'll soon get the hang of it."""
,,daunt   ( verb ),,to make someone feel slightly frightened or worried about their ability to achieve something:,She was not at all daunted by the size of the problem.
,,gossip   ( noun ),,"conversation or reports about other people's private lives that might be unkind, disapproving, or not true:",Her letter was full of gossip.
,,get on someone's nerves,,to annoy someone a lot,Please stop making that noise! It really gets on my nerves.
,,hit the nail on the head,,to describe exactly what is causing a situation or problem:,I think Mick hit the nail on the head when he said that what's lacking in this company is a feeling of confidence.
,,steal the show,,to be the most popular or the best part of an event or situation:,The child with the dog stole the show.
,,flurry   ( noun ),,"a sudden light fall of snow, blown in different directions by the wind:",We might see a snow flurry or two tonight.
,,ominous   ( adjective ),,suggesting that something unpleasant is likely to happen:,There was an ominous silence when I asked whether my contract was going to be renewed.
,,funnel   ( noun ),,"an object that has a wide round opening at the top, sloping sides, and a narrow tube at the bottom, used for pouring liquids or powders into containers with narrow necks:","After you grind the coffee, use a funnel to pour it into the jar."
,,batter   ( verb ),,"to hit and behave violently towards a person, especially a woman or child, repeatedly over a long period of time, or to hit something with force many times:",He was battered to death with a rifle butt.
,,downpour   ( noun ),,a lot of rain in a short time,
,,crucial   ( adjective ),,extremely important or necessary:,a crucial decision/question
,,cumulonimbus   ( noun ),,"a large, tall type of cumulus cloud that is often dark and brings heavy rain or a thunderstorm",
,,waterspout   ( noun ),,a tornado (= violently spinning column of air) filled with water that forms over the sea,
,,enrage   ( verb ),,to cause someone to become very angry:,Plans to build a new nightclub in the neighbourhood have enraged local residents.
,,horrendous   ( adjective ),,extremely unpleasant or bad:,a horrendous accident/tragedy/crime
,,chime in   ( phrasal verb ),,"to interrupt or speak in a conversation, usually to agree with what has been said:","""It's very difficult,"" I said. ""Impossible,"" she chimed in."
,,pique   ( noun ),,"a feeling of anger, especially caused by someone damaging your feeling of being proud of yourself:","He stormed from the room in a fit of pique, shouting that he had been misunderstood."
,,dilemma   ( noun ),,a situation in which a difficult choice has to be made between two different things you could do:,The president is clearly in a dilemma about/over how to tackle the crisis.
,,inevitable   ( adjective ),,certain to happen and unable to be avoided or prevented:,The accident was the inevitable consequence/result/outcome of carelessness.
,,ecstatic   ( adjective ),,extremely happy:,The new president was greeted by an ecstatic crowd.
,,mole   ( noun ),,"a small, dark spot or lump (= raised area) on a person's skin",
,,faint   ( adjective ),,"to feel weak, as if you are about to become unconscious:",She felt faint with hunger.
,,rash   ( noun ),,a lot of small red spots on the skin:,I've got an itchy rash all over my chest.
,,pastry   ( noun ),,"a food made from a mixture of flour, fat, and water, rolled flat and either wrapped around or put over or under other foods, and then baked:",shortcrust/puff/filo/choux/flaky pastry
,,suet   ( noun ),,"a type of hard fat used in cooking, taken from around the kidneys of animals such as sheep and cows:",suet pudding
,,gooey   ( adjective ),,soft and sticky:,a gooey cake
,,notorious   ( adjective ),,famous for something bad:,one of Mexico's most notorious criminals
,,swoop   ( verb ),,"to move very quickly and easily through the air, especially down from a high position in order to attack:",The eagle swooped down to snatch a young rabbit.
,,boisterous   ( adjective ),,"noisy, energetic, and rough:",boisterous children
,,condiment   ( noun ),,"a substance, such as salt, that you add to food to improve its taste",
,,douse   ( verb ),,"to make something or someone wet by throwing a lot of liquid over it, him, or her:",We watched as demonstrators doused a car in/with petrol and set it alight.
,,rapport   ( noun ),,a good understanding of someone and an ability to communicate well with them:,We'd worked together for years and developed a close/good rapport.
,,enlighten   ( verb ),,"to provide someone with information and understanding, or to explain the true facts about something to someone:",Should the function of children's television be to entertain or to enlighten?
