Source,Episode,Vocabulary,Type,Description,Example
,,vouch for,phrasal verb,to say that you believe that somebody will behave well and that you will be responsible for their actions,I can vouch for her ability to work hard.
,,sparkle,verb,to shine brightly with small flashes of light,sparkling eyes
,,elf,noun,"(in stories) a creature like a small person with pointed ears, who has magic powers",none
,,sane,adjective,having a healthy mind; not mentally ill,keeps me sane
,,inedible,adjective,"that you cannot eat because it is of poor quality, or poisonous","The waiters were rude, the food inedible."
,,joie de vivre,noun,a feeling of great happiness and pleasure in life,none
,,ballet,noun,a style of dancing that tells a dramatic story with music but no talking or singing,ballet dancer
,,fanatic,adjective,"holding, expressing or connected with extreme or dangerous opinions",He's fanatic about his religious beliefs.
,,let's agree to disagree,phrase,to resolve a conflict (usually a debate or quarrel) in a manner whereby all parties tolerate but do not accept the opposing positions.,none
,,nostalgic,adjective,having or bringing a sad feeling mixed with pleasure when you think of happy times in the past,nostalgic memories
,,flabbergasted,adjective,extremely surprised and/or shocked,Friends were flabbergasted by the news that they split up.
,,juvenile,adjective,relating to young people who are not yet adults,juvenile crime/employment
,,wrack,verb,to make somebody suffer great physical or mental pain,"Few scholars have been engaged in this work, and many of the communities live in areas wracked by civil war"
,,vlog,verb,to keep a vlog (= a video blog); to add something to a vlog,"Olive has a channel with her fianc, where they vlog about their daily lives as a couple."
,,monastery,noun,a building in which monks (= members of a male religious community) live together,He lived in a monastery for most of his life.
,,snooze,verb,"to have a short, light sleep, especially during the day and usually not in bed",My brother was snoozing on the sofa.
,,gown,noun,"a woman's dress, especially a long one for special occasions",She was dressed in a long flowing gown.
,,chore,noun,a task that you do regularly,doing the household/domestic chores
,,nun,noun,a member of a religious community of women who promise to serve God all their lives and often live together in a convent,She was wearing a nun's habit and leather sandals.
,,buddhist,adjective,following or connected with the religion of Buddhism,Buddhist monk/temple
,,tuck in,phrasal verb,"to eat a lot of food, especially when it is done quickly and with enthusiasm","Come on, tuck in everyone!"
,,motto,noun,"a short sentence or phrase that expresses the aims and beliefs of a person, a group, an institution, etc. and is used as a rule of behaviour","The school's motto is: Honour, Country"
,,waft,verb,"to move, or make something move, gently through the air",The sound of their voices wafted across the lake.
,,hit the hay,phrase,go to bed,none
,,grope,verb,"to try and find something that you cannot see, by feeling with your hands",He groped around in the dark for his other sock.
,,fodder,noun,food for horses and farm animals,"Without education, these children will end up as factory fodder (= only able to work in a factory)."
,,hay,noun,grass that has been cut and dried and is used as food for animals,a bale of hay
,,bale,noun,a large amount of a light material pressed tightly together and tied up,bales of hay/straw/cotton/wool
,,halt,verb,to stop; to make somebody/something stop,She walked towards him and then halted.
,,plunge,verb,to move or make somebody/something move suddenly forwards and/or downwards,She lost her balance and plunged 100 feet to her death.
,,pledge,verb,to formally promise to give or do something,Japan has pledged $100 million in humanitarian aid.
,,soar,verb,"if the value, amount or level of something soars, it rises very quickly",soaring costs/prices/temperatures
,,speculation,noun,the act of forming opinions about what has happened or what might happen without knowing all the facts,There was widespread speculation that she was going to resign.
,,intervene,verb,to become involved in a situation in order to improve or help it,She might have been killed if the neighbours hadn't intervened.
,,accuse,verb,to say that somebody has done something wrong or is guilty of something,accuse somebody of murder/a crime
,,turmoil,noun,a state of great worry in which everything is confused and nothing is certain,emotional/mental/political turmoil
,,blunt,adjective,very direct; saying exactly what you think without trying to be polite,She has a reputation for blunt speaking.
,,spree,noun,"a short period of time that you spend doing one particular activity that you enjoy, but often too much of it",shopping/spending spree
,,well-off,adjective,to have enough of something,a well-off family
,,inflict,verb,to make somebody/something suffer something unpleasant,Do you have to inflict that music on us?
,,novice,noun,"a person who is new and has little experience in a skill, job or situation",I'm a complete novice at skiing.
,,spook,verb,frighten,They spooked a couple of grizly bears.
,,break off,phrasal verb,to become separated from something as a result of force,The back section of the plane had broken off.
,,bring about,phrasal verb,to make something happen,The Administration helped bring about a peaceful settlement.
,,bring along,phrasal verb,"If you bring someone or something along, you bring them with you when you come to a place.",Don't forget to bring your camera along when we go to the picnic./ Sara brought along a new friend to the party.
,,bring back,phrasal verb,to return somebody/something; reintroduce something,Please bring back all library books by the end of the week./ Seeing the place again would bring all the horrors back to me.
,,extremism,noun,"political, religious, etc. ideas or actions that are extreme and not normal, reasonable or acceptable to most people",political/religious extremism
,,panel show,noun,a television or radio show in which a team of people try to answer questions correctly,"Question of Sport, is a popular TV panel show."
,,witty,adjective,clever and humorous,He was much in demand as a witty public speaker.
,,dawn on,phrasal verb,"if something dawns on you, you begin to realize it for the first time",Suddenly it dawned on me that they couldn't possibly have met before.
,,vault,noun,"a room with thick walls and a strong door, especially in a bank, used for keeping valuable things safe",Most of her jewellery is stored in bank vaults.
,,fizzy,adjective,having bubbles of gas in it,fizzy drinks
,,quench,verb,to drink so that you no longer feel thirsty,Firemen tried to quench the flames raging through the building.
,,cleanse,verb,to clean your skin or a wound,The wound was then cleansed and dressed.
,,palate,noun,the top part of the inside of the mouth,the hard/soft palate (= the hard/soft part at the front/back of the palate)
,,spring,noun,a place where water comes naturally to the surface from under the ground,a mountain spring
,,catholic,adjective,belonging to or connected with the part of the Christian Church that has the Pope as its leader,Are they Catholic or Protestant?
,,snob,noun,a person who admires people in the higher social classes too much and has no respect for people in the lower social classes,She's such a snob!
,,jug,noun,a container with a handle and a,a milk/water jug
,,patent,noun,"an official right to be the only person to make, use or sell a product or an invention; a document that proves this",to apply for/obtain/take out a patent on an invention
,,deceive,verb,"deliberately cause (someone) to believe something that is not true, especially for personal gain",Her husband had been deceiving her for years.
,,deliberate,adjective,done on purpose rather than by accident,The speech was a deliberate attempt to embarrass the government.
,,coup,noun,a sudden change of government that is illegal and often violent,stage/mount a coup
,,stance,noun,"the opinions that somebody has about something and expresses publicly; the way in which somebody stands, especially when playing a sport",What is the newspaper's stance on the war?
,,rebel,noun,a person who fights against the government of their country,rebel forces
,,bring off,phrasal verb,to succeed in doing something difficult,It was a difficult task but we brought it off.
,,bring out,phrasal verb,produce and launch a new product or publication; make something more evident; emphasize something,the shawl brings out the colour of your eyes
,,catch on,phrasal verb,to become popular or fashionable,"He invented a new game, but it never really caught on."
,,discrimination,noun,"the ability to judge what is good, true, etc.","to prohibit/outlaw/ban discrimination on the basis of race, gender or sexual orientation"
,,buoyant,adjective,"tending to increase or stay at a high level, usually showing financial success; cheerful and feeling sure that things will be successful",buoyant economy/market
,,defy,verb,"to refuse to obey or show respect for somebody in authority, a law, a rule, etc.",I wouldn't have dared to defy my teachers.
,,odds,noun,"possibility, opportunity, superiority",The odds are very much in our favour (= we are likely to succeed).
,,at odds,phrase,in conflict or at variance,His behaviour is at odds with the interests of the company.
,,sovereign,noun,"monarch, lord, emperor, independency","The islands are ruled by a governor, representing the British sovereign."
,,come across,phrasal verb,to meet or find somebody/something by chance; to be understood; to make a particular impression,He spoke for a long time but his meaning didn't really come across.
,,come off,phrasal verb,"to be successful/not successful in a fight, contest, etc.",Does this hood come off?
,,missile,noun,a weapon that is sent through the air and that explodes when it hits the thing that it is aimed at,missile base/site
,,drone,noun,"an aircraft without a pilot, controlled from the ground, used for taking photographs, dropping bombs, delivering goods, etc.",Drone strikes
,,thump,verb,"to hit somebody/something hard, especially with your closed hand",He thumped the table angrily.
,,suburb,noun,"an outlying district of a city, especially a residential one.",a highly respectable suburb of Chicago
,,reverberation,noun,a loud noise that continues for some time after it has been produced because of the surfaces around it,The reverberations of the drum were still vibrating in the air.
,,philharmonic,adjective,"used in the names of orchestras, music societies, etc.",the Berlin Philharmonic (Orchestra)
,,crater,noun,a large hole in the top of a volcano,We peered over the lip of the crater into the volcano.
,,slam,verb,"to shut, or to make something shut, with a lot of force, making a loud noise",I heard the door slam behind him.
,,discern,verb,"to know, recognize or understand something, especially something that is not obvious",It is possible to discern a number of different techniques in her work.
,,meme,noun,"an image, a video, a piece of text, etc. that is passed very quickly from one internet user to another, often with slight changes that make it humorous",an internet meme/a blog meme
,,shell-shocked,adjective,"shocked, confused or anxious because of a difficult situation, and unable to think or act normally",I felt completely shell-shocked after I heard the news.
,,fiery,adjective,looking like fire; consisting of fire,fiery temper
,,debris,noun,"pieces of wood, metal, building materials, etc. that are left after something has been destroyed",Emergency teams are still clearing the debris from the plane crash.
,,lessen,verb,"to become or make something become smaller, weaker, less important, etc.",The noise began to lessen.
,,mesmerize,verb,to have such a strong effect on you that you cannot give your attention to anything else,They were mesmerized by her performance.
,,curfew,noun,a law that says that people must not go outside after a particular time at night until the morning; the time after which nobody must go outside,You must get home before curfew.
,,superstition,noun,the belief that particular events happen in a way that cannot be explained by reason or science; the belief that particular events bring good or bad luck,"According to superstition, breaking a mirror brings bad luck."
,,burden,noun,"a duty, responsibility, etc. that causes worry, difficulty or hard work",The main burden of caring for old people falls on the state.
,,conviction,noun,a strong opinion or belief,He plans to appeal against his conviction.
,,tiresome,adjective,making you feel annoyed,Buying a house can be a very tiresome business.
,,vestige,noun,a small part of something that still exists after the rest of it has stopped existing,the last vestiges of the old colonial regime
,,obstacle,noun,"a situation, an event, etc. that makes it difficult for you to do or achieve something","So far, we have managed to overcome all the obstacles that have been placed in our path."
,,glimmer,noun,a small unsteady light,glimmer of hope
,,pace,noun,"a single step taken when walking or running; speed in walking, running, or moving.",John stepped back a pace; He's an aggressive player with plenty of pace.
,,veil,noun,"a piece of very thin material, worn especially by women to protect or hide the face, or as part of a hat, etc.",Their work is carried out behind a veil of secrecy.
,,thriving,adjective,"continuing to be successful, strong, healthy, etc.",a thriving industry
,,toddler,noun,a child who has only recently learnt to walk,We run a mother and toddler group in the mornings.
,,moustache,noun,a strip of hair left to grow above the upper lip,He's trying to grow a moustache.
,,bonnet,noun,"the metal part over the front of a vehicle, usually covering the engine",The child hit the bonnet and was flung through the air.
,,impartiality,noun,the fact of not supporting one person or group more than another,political/judicial impartiality
,,in spite of,idiom,even though there is something unpleasant or bad happening,"In spite of his injury, Ricardo will play in Saturday's game."
,,outset,noun,at/from the beginning of something,I made it clear right from the outset that I disapproved.
,,dreary,adjective,that makes you feel sad; not bright or interesting,dreary film
,,chuckle,noun,an act of laughing quietly,She gave a chuckle of delight.
,,derisive,adjective,unkind and showing that you think somebody/something is silly,"She gave a short, derisive laugh."
,,gritty,adjective,showing the courage and strength of mind to continue doing something difficult or unpleasant,a gritty performance from the British player
,,low-key,adjective,not intended to attract a lot of attention,Their wedding was a very low-key affair.
,,hush,verb,to be quiet; to stop talking or crying,Hush now and try to sleep.
,,reverence,noun,a feeling of admiring and respecting somebody/something very much,The poem conveys his deep reverence for nature.
,,defiant,adjective,"openly refusing to obey somebody/something, sometimes in an aggressive way",She had suddenly turned into a defiant teenager.
,,herd,noun,a group of animals of the same type that live and feed together,herd of cows/deer/elephants
,,tomb,noun,"a large grave (= where a dead person is buried), especially one built of stone above or below the ground",the tombs of the Pharaohs
,,archaeology,noun,"the study of cultures of the past, and of periods of history by examining the parts of buildings and objects found in the ground",none
,,ornament,noun,"an object that is used as decoration in a room, garden, etc. rather than for a particular purpose",a glass/silver ornament
,,mint,noun,a place where coins and banknotes are made,the Royal Mint (= the one where British coins and notes are made)
,,goatee,noun,a small pointed beard (= hair growing on a man's face) that is grown only on the chin,He was disguised with a fake goatee and his hair and moustache were painted in black.
,,mound,noun,a large pile of earth or stones; a small hill,mound of rice/sand
,,preach,verb,"to give a religious talk in a public place, especially in a church during a service",She preached to the congregation about forgiveness.
,,bishop,noun,a senior priest in charge of the work of the Church in a city or district,the Bishop of Oxford
,,raid,noun,"a short surprise attack on an enemy by soldiers, ships or aircraft",bombing raid
,,do away with,phrasal verb,to stop doing or having something; to make something end,He thinks it's time we did away with the monarchy.
,,do up,phrasal verb,"to fasten a coat, skirt, etc.;  to make something into a package;  to repair and decorate a house, etc.",The skirt does up at the back.;  She was carrying a package done up in brown paper.;  He makes money by buying old houses and doing them up.
,,fall out,phrasal verb,to have an argument with somebody so that you are no longer friendly with them,I've fallen out with certain memebrs of the band.
,,shudder,verb,"to shake because you are cold or frightened, or because of a strong feeling",Just thinking about the accident makes me shudder.
,,dicey,adjective,dangerous and uncertain,The fog made driving pretty dicey.
,,impending,adjective,that is going to happen very soon (an event regarded as threatening or significant),impending danger/disaster
,,surge,noun,a sudden increase of a strong feeling,She felt a sudden surge of anger.
,,sentiment,noun,"feelings of sympathy, romantic love, being sad, etc. which may be too strong or not appropriate",Public sentiment is against any change to the law.
,,rim,noun,the edge of something in the shape of a circle,He looked at them over the rim of his glass.
,,bail out,phrasal verb,to jump out of a plane that is going to crash,I'd understand if you wanted to bail out of this relationship.
,,stay put,phrasal verb,remain somewhere without moving or being moved.,She told Jason to stay put.
